todo_id,user_id,title,completed,title_length,completed_text,user_name,username,email,phone,website,company_name,city,zipcode,geo_lat,geo_lng
1,1,delectus aut autem,False,18,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
2,1,quis ut nam facilis et officia qui,False,34,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
3,1,fugiat veniam minus,False,19,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
4,1,et porro tempora,True,16,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
5,1,laboriosam mollitia et enim quasi adipisci quia provident illum,False,63,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
6,1,qui ullam ratione quibusdam voluptatem quia omnis,False,49,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
7,1,illo expedita consequatur quia in,False,33,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
8,1,quo adipisci enim quam ut ab,True,28,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
9,1,molestiae perspiciatis ipsa,False,27,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
10,1,illo est ratione doloremque quia maiores aut,True,44,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
11,1,vero rerum temporibus dolor,True,27,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
12,1,ipsa repellendus fugit nisi,True,27,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
13,1,et doloremque nulla,False,19,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
14,1,repellendus sunt dolores architecto voluptatum,True,46,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
15,1,ab voluptatum amet voluptas,True,27,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
16,1,accusamus eos facilis sint et aut voluptatem,True,44,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
17,1,quo laboriosam deleniti aut qui,True,31,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
18,1,dolorum est consequatur ea mollitia in culpa,False,44,not_done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
19,1,molestiae ipsa aut voluptatibus pariatur dolor nihil,True,52,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
20,1,ullam nobis libero sapiente ad optio sint,True,41,done,Leanne Graham,Bret,Sincere@april.biz,1-770-736-8031 x56442,hildegard.org,Romaguera-Crona,Gwenborough,92998-3874,-37.3159,81.1496
